Date,SVol,IVol
8/4/2008,10.03100087,12.11044241
9/4/2008,10.88878182,12.95866564
10/4/2008,12.8021223,14.88021557
11/4/2008,13.56228144,15.64088124
14/4/2008,12.54012768,14.60758279
15/4/2008,14.00348942,16.07734065
16/4/2008,5.010635294,7.090076836
17/4/2008,9.30063801,11.36693507
18/4/2008,10.17282743,12.24132685
21/4/2008,11.08965274,13.16107385
22/4/2008,11.02659731,13.09366707
23/4/2008,11.86594574,13.93353264
24/4/2008,14.27271386,16.34197773
25/4/2008,13.82353131,15.89670368
28/4/2008,8.64223868,10.71200152
29/4/2008,8.006367568,10.07533781
30/4/2008,16.16115026,18.23417444
1/5/2008,8.349011198,10.42218313
2/5/2008,12.34967936,14.42845496
5/5/2008,10.07907817,12.1634172
6/5/2008,11.08101884,13.14626221
7/5/2008,12.87918547,14.94163156
8/5/2008,11.21046811,13.29497124
9/5/2008,11.83574058,13.91371219
12/5/2008,9.955463114,12.02254036
14/5/2008,11.43041304,13.50680367
15/5/2008,10.17282743,12.25226897
16/5/2008,9.296518068,11.38736224
19/5/2008,9.323669057,11.41571035
20/5/2008,11.59297433,13.6730083
21/5/2008,11.00126616,13.07928467
26/5/2008,7.175489714,9.248661642
27/5/2008,9.952277717,12.02301398
28/5/2008,11.14206466,13.2215062
29/5/2008,11.67422765,13.75126359
30/5/2008,10.32548196,12.4049235
2/6/2008,11.10405456,13.17882849
3/6/2008,11.5354401,13.6085073
4/6/2008,13.4247572,15.49454296
5/6/2008,13.67237779,15.72886938
6/6/2008,9.350102314,11.40165195
9/6/2008,11.52564424,13.55425514
10/6/2008,12.18020597,14.21048149
11/6/2008,10.79957558,12.82772382
12/6/2008,13.70899159,15.7798783
13/6/2008,9.903487553,11.97035031
16/6/2008,11.38809893,13.41810539
17/6/2008,12.0670864,14.09022558
18/6/2008,11.2835123,13.30477993
19/6/2008,12.78514366,14.80295252
20/6/2008,10.92536277,12.95494683
23/6/2008,14.89008149,16.92110919
24/6/2008,12.56374709,14.59307228
25/6/2008,11.29601246,13.32416071
26/6/2008,11.5734089,13.59469383
27/6/2008,7.170119543,9.187685681
30/6/2008,12.3701581,14.38600846
1/7/2008,11.18646098,13.20306735
2/7/2008,9.911455722,11.93061936
3/7/2008,10.61388509,12.6343037
4/7/2008,11.58716986,13.62283601
7/7/2008,10.67127828,12.70672762
8/7/2008,10.4341158,12.45800791
9/7/2008,11.6230526,13.64249746
10/7/2008,11.72264329,13.73989047
11/7/2008,13.01382671,15.02872973
14/7/2008,11.49309004,13.50799306
15/7/2008,11.32176496,13.34080469
16/7/2008,12.18235868,14.20921399
17/7/2008,10.83793249,12.87636462
18/7/2008,9.179881164,11.22110149
21/7/2008,11.74006104,13.76245497
22/7/2008,11.08959166,13.11058387
23/7/2008,11.76596174,13.78312966
24/7/2008,10.68049323,12.68446871
25/7/2008,16.4961947,18.50439848
28/7/2008,12.79678835,14.79767674
29/7/2008,10.8052736,12.80778224
30/7/2008,10.80807001,12.82273131
31/7/2008,9.592195614,11.60365243
4/8/2008,10.6639896,12.65763662
5/8/2008,12.12329955,14.13754472
7/8/2008,10.73151522,12.75286326
8/8/2008,10.16585182,12.18203607
11/8/2008,10.90319989,12.904972
12/8/2008,12.17337382,14.17461049
13/8/2008,11.03717737,13.04139364
14/8/2008,7.60090246,9.620129452
15/8/2008,10.75372395,12.7527485
18/8/2008,9.883743923,11.88234396
19/8/2008,10.18832809,12.18843898
20/8/2008,8.609407675,10.61501601
21/8/2008,9.525370066,11.52440542
22/8/2008,11.63493954,13.6304295
25/8/2008,10.38745572,12.38614229
26/8/2008,11.05600389,13.05716373
27/8/2008,9.591717685,11.5909526
28/8/2008,9.392661929,11.40082003
1/9/2008,8.62532985,10.62602556
2/9/2008,9.998797732,12.00264042
3/9/2008,12.70674793,14.71467784
4/9/2008,10.89829367,12.90058252
5/9/2008,10.91274025,12.91535397
8/9/2008,11.04423298,13.04881634
9/9/2008,11.87739495,13.89108161
10/9/2008,9.572480355,11.5789173
11/9/2008,10.55960761,12.56367478
12/9/2008,10.79137881,12.79959284
15/9/2008,10.25104102,12.25925505
16/9/2008,12.12772725,14.13315072
17/9/2008,9.35279434,11.35357094
18/9/2008,10.77895629,12.7750075
19/9/2008,9.792555992,11.78725631
22/9/2008,12.21968458,14.21438489
23/9/2008,11.37675058,13.35828613
24/9/2008,11.70987287,13.6917818
25/9/2008,10.92681939,12.90905938
26/9/2008,12.46129996,14.45571037
29/9/2008,10.4341158,12.43532271
30/9/2008,13.29041527,15.284141
1/10/2008,12.19772288,14.1795093
2/10/2008,11.47102998,13.45228683
3/10/2008,11.9451753,13.92322684
6/10/2008,11.82378681,13.79819698
7/10/2008,10.2592721,12.23357127
8/10/2008,11.52469592,13.49877832
9/10/2008,13.18592767,15.13288741
10/10/2008,10.67373465,12.58196111
13/10/2008,13.01053756,14.80357422
14/10/2008,13.07432583,14.91125265
15/10/2008,12.18807159,14.05973278
16/10/2008,12.6253256,14.49823539
17/10/2008,12.0365291,13.89668373
21/10/2008,10.89234078,12.77440952
22/10/2008,11.10854477,12.97414778
23/10/2008,10.26161644,12.12471562
24/10/2008,14.78426052,16.64221749
28/10/2008,12.03362221,13.8348488
29/10/2008,10.03245228,11.89653241
30/10/2008,12.46205892,14.25514647
31/10/2008,11.84868316,13.70283446
3/11/2008,11.59910316,13.4430546
4/11/2008,8.36683531,10.21371408
5/11/2008,12.17708143,13.97128566
6/11/2008,14.75274013,16.57728943
7/11/2008,11.0468023,12.88631643
10/11/2008,10.84349481,12.68494929
11/11/2008,11.52524921,13.38122698
12/11/2008,11.04197739,12.9124137
14/11/2008,7.313220387,9.186559843
17/11/2008,10.30269982,12.17191848
18/11/2008,13.89623119,15.70664096
19/11/2008,10.50813133,12.29971248
20/11/2008,14.35983865,16.14914078
21/11/2008,11.3781247,13.15311584
24/11/2008,8.748304912,10.52325726
25/11/2008,10.98126768,12.74014437
27/11/2008,8.699514748,10.45079938
28/11/2008,11.18501844,12.96953499
1/12/2008,7.048386409,8.797586264
2/12/2008,12.14819456,13.89147609
3/12/2008,9.353314541,11.05809415
4/12/2008,11.6307085,13.37506573
5/12/2008,12.25008953,13.95408624
8/12/2008,11.80185676,13.4133165
9/12/2008,13.71797711,15.32809707
10/12/2008,13.12236338,14.73180129
11/12/2008,13.12236338,14.73180129
12/12/2008,8.76561455,10.38698103
15/12/2008,9.62648162,11.24993952
16/12/2008,10.10834493,11.73346515
17/12/2008,11.64540005,13.26183058
18/12/2008,9.364776725,10.9824667
19/12/2008,12.07428259,13.68962607
22/12/2008,11.29695612,12.90639403
23/12/2008,12.15992399,13.76363478
24/12/2008,11.97922223,13.56862757
29/12/2008,11.46894223,13.06396066
30/12/2008,7.313220387,8.904494329
31/12/2008,11.74037971,13.40230154
